Service Month,Health Authority Code,Health Authority Name,Disease,Distinct Client Count,Dispense Count,Dispensed Days Supplied,Dispensed Tablets,Distinct Prescriber Count
2018-08,4,Vancouver Island,Other,604,813,39598,62797,298
2018-08,4,Vancouver Island,RA/Lupus,617,820,39775,62769,343
2018-08,4,Vancouver Island,Total,1221,1633,79373,125566,528
2018-08,5,Northern,Other,199,231,11322,18683,129
2018-08,5,Northern,RA/Lupus,322,386,16885,27744,199
2018-08,5,Northern,Total,521,617,28207,46427,257
2018-08,9,Other/Unknown,Other,186,189,17738,30835,18
2018-08,9,Other/Unknown,RA/Lupus,8,9,423,756,8
2018-08,9,Other/Unknown,Total,194,198,18161,31591,23
2018-08,Total,Total,Other,3214,4483,213565,335916,1368
2018-08,Total,Total,RA/Lupus,4213,5931,272898,420054.5,1687
2018-08,Total,Total,Total,7427,10414,486463,755970.5,2458
2018-09,1,Interior,Other,615,853,38439,61323.5,297
2018-09,1,Interior,RA/Lupus,915,1164,61297,97481.5,381
2018-09,1,Interior,Total,1530,2017,99736,158805,556
2018-09,2,Fraser,Other,1011,1480,62367,96380,463
2018-09,2,Fraser,RA/Lupus,1545,2275,98638,153482.7,564
2018-09,2,Fraser,Total,2556,3755,161005,249862.7,835
2018-09,3,Vancouver Coastal,Other,522,759,35667,50745,238
2018-09,3,Vancouver Coastal,RA/Lupus,694,1027,47671,67772,274
2018-09,3,Vancouver Coastal,Total,1216,1786,83338,118517,430
2018-09,4,Vancouver Island,Other,581,782,38025,61943,301
2018-09,4,Vancouver Island,RA/Lupus,619,784,40877,65378,323
2018-09,4,Vancouver Island,Total,1200,1566,78902,127321,507
2018-09,5,Northern,Other,202,232,11546,19076.5,127
2018-09,5,Northern,RA/Lupus,325,380,17130,27633,196
2018-09,5,Northern,Total,527,612,28676,46709.5,257
2018-09,9,Other/Unknown,Other,210,210,20408,34632,19
2018-09,9,Other/Unknown,RA/Lupus,3,3,430,725,3
2018-09,9,Other/Unknown,Total,213,213,20838,35357,22
2018-09,Total,Total,Other,3140,4316,206452,324100,1341
2018-09,Total,Total,RA/Lupus,4100,5633,266043,412472.2,1615
2018-09,Total,Total,Total,7240,9949,472495,736572.2,2387
2018-10,1,Interior,Other,653,948,43414,70563.5,331
2018-10,1,Interior,RA/Lupus,949,1260,63916,102351,404
2018-10,1,Interior,Total,1602,2208,107330,172914.5,596
2018-10,2,Fraser,Other,1073,1699,68373,102911.5,455
2018-10,2,Fraser,RA/Lupus,1606,2455,105324,159896.7,591
2018-10,2,Fraser,Total,2679,4154,173697,262808.2,840
2018-10,3,Vancouver Coastal,Other,551,793,38716,54880,238
2018-10,3,Vancouver Coastal,RA/Lupus,787,1177,56329,80245,313
2018-10,3,Vancouver Coastal,Total,1338,1970,95045,135125,475
2018-10,4,Vancouver Island,Other,645,885,43537,69313.5,330
2018-10,4,Vancouver Island,RA/Lupus,651,885,43875,69379,338
2018-10,4,Vancouver Island,Total,1296,1770,87412,138692.5,543
2018-10,5,Northern,Other,212,248,12284,19749.5,128
2018-10,5,Northern,RA/Lupus,368,436,20661,34165,207
2018-10,5,Northern,Total,580,684,32945,53914.5,269
2018-10,9,Other/Unknown,Other,194,194,18438,31232,15
2018-10,9,Other/Unknown,RA/Lupus,4,5,180,330,4
2018-10,9,Other/Unknown,Total,198,199,18618,31562,19
2018-10,Total,Total,Other,3328,4767,224762,348650,1397
2018-10,Total,Total,RA/Lupus,4363,6218,290285,446366.7,1713
2018-10,Total,Total,Total,7691,10985,515047,795016.7,2514
2018-11,1,Interior,Other,614,872,38810,62320.5,311
2018-11,1,Interior,RA/Lupus,930,1203,61285,96186,386
2018-11,1,Interior,Total,1544,2075,100095,158506.5,568
2018-11,2,Fraser,Other,1048,1657,66819,102283,453
2018-11,2,Fraser,RA/Lupus,1562,2300,100745,154899.5,537
2018-11,2,Fraser,Total,2610,3957,167564,257182.5,798
2018-11,3,Vancouver Coastal,Other,537,763,36740,52643,247
2018-11,3,Vancouver Coastal,RA/Lupus,725,1121,50002,70834.5,297
2018-11,3,Vancouver Coastal,Total,1262,1884,86742,123477.5,464
2018-11,4,Vancouver Island,Other,581,792,37865,60089.5,296
2018-11,4,Vancouver Island,RA/Lupus,631,858,42248,66940,330
2018-11,4,Vancouver Island,Total,1212,1650,80113,127029.5,519
2018-11,5,Northern,Other,210,241,11890,18977,132
2018-11,5,Northern,RA/Lupus,315,376,16978,28013,193
2018-11,5,Northern,Total,525,617,28868,46990,258
2018-11,9,Other/Unknown,Other,187,187,16827,28961,17
2018-11,9,Other/Unknown,RA/Lupus,5,5,270,450,5
2018-11,9,Other/Unknown,Total,192,192,17097,29411,22
2018-11,Total,Total,Other,3176,4512,208951,325274,1342
2018-11,Total,Total,RA/Lupus,4167,5863,271528,417323,1602
2018-11,Total,Total,Total,7343,10375,480479,742597,2377
2018-12,1,Interior,Other,624,881,40984,67252,306
2018-12,1,Interior,RA/Lupus,1015,1307,68653,110024.5,397
2018-12,1,Interior,Total,1639,2188,109637,177276.5,577
2018-12,2,Fraser,Other,1106,1768,71680,109478.5,479
2018-12,2,Fraser,RA/Lupus,1584,2380,104046,160345.7,546
2018-12,2,Fraser,Total,2690,4148,175726,269824.2,822
2018-12,3,Vancouver Coastal,Other,540,791,37739,55616,240
2018-12,3,Vancouver Coastal,RA/Lupus,800,1227,57724,81133.5,284
2018-12,3,Vancouver Coastal,Total,1340,2018,95463,136749.5,446
2018-12,4,Vancouver Island,Other,575,803,37814,60528,299
2018-12,4,Vancouver Island,RA/Lupus,652,850,43918,70278.5,324
2018-12,4,Vancouver Island,Total,1227,1653,81732,130806.5,504
2018-12,5,Northern,Other,216,242,12243,20162,127
2018-12,5,Northern,RA/Lupus,337,412,18538,30294,202
2018-12,5,Northern,Total,553,654,30781,50456,265
2018-12,9,Other/Unknown,Other,175,175,15783,26856,20
2018-12,9,Other/Unknown,RA/Lupus,6,6,270,525,6
2018-12,9,Other/Unknown,Total,181,181,16053,27381,24
2018-12,Total,Total,Other,3236,4660,216243,339892.5,1374
2018-12,Total,Total,RA/Lupus,4394,6182,293149,452601.2,1632
2018-12,Total,Total,Total,7630,10842,509392,792493.7,2424
2019-01,1,Interior,Other,584,829,36129,58957,303
2019-01,1,Interior,RA/Lupus,846,1144,54512,87438,365
2019-01,1,Interior,Total,1430,1973,90641,146395,555
2019-01,2,Fraser,Other,1090,1779,69639,105110,455
2019-01,2,Fraser,RA/Lupus,1564,2321,101251,154335,557
2019-01,2,Fraser,Total,2654,4100,170890,259445,811
2019-01,3,Vancouver Coastal,Other,555,801,38707,54298.5,266
2019-01,3,Vancouver Coastal,RA/Lupus,736,1154,52514,74729.5,297
2019-01,3,Vancouver Coastal,Total,1291,1955,91221,129028,477
2019-01,4,Vancouver Island,Other,612,841,41432,66792.5,321
2019-01,4,Vancouver Island,RA/Lupus,614,806,40694,65576.5,306
2019-01,4,Vancouver Island,Total,1226,1647,82126,132369,514
2019-01,5,Northern,Other,211,251,11778,18824,136
2019-01,5,Northern,RA/Lupus,349,421,19573,31275.5,198
2019-01,5,Northern,Total,560,672,31351,50099.5,269
2019-01,9,Other/Unknown,Other,185,185,16224,29283,15
2019-01,9,Other/Unknown,RA/Lupus,7,7,437,579,7
2019-01,9,Other/Unknown,Total,192,192,16661,29862,19
2019-01,Total,Total,Other,3237,4686,213909,333265,1391
2019-01,Total,Total,RA/Lupus,4114,5853,268981,413933.5,1591
2019-01,Total,Total,Total,7351,10539,482890,747198.5,2418
2019-02,1,Interior,Other,566,785,34346,54682,284
2019-02,1,Interior,RA/Lupus,843,1099,53433,84240,353
2019-02,1,Interior,Total,1409,1884,87779,138922,532
2019-02,2,Fraser,Other,978,1583,59513,91450,417
2019-02,2,Fraser,RA/Lupus,1413,2084,89353,136209.4,509
2019-02,2,Fraser,Total,2391,3667,148866,227659.4,756
2019-02,3,Vancouver Coastal,Other,506,720,35084,49262.5,234
2019-02,3,Vancouver Coastal,RA/Lupus,663,966,45184,63592,294
2019-02,3,Vancouver Coastal,Total,1169,1686,80268,112854.5,446
2019-02,4,Vancouver Island,Other,542,706,34449,54173,284
2019-02,4,Vancouver Island,RA/Lupus,530,695,33505,53149,281
2019-02,4,Vancouver Island,Total,1072,1401,67954,107322,478
2019-02,5,Northern,Other,189,210,10412,16142,115
2019-02,5,Northern,RA/Lupus,320,369,16806,26789,177
2019-02,5,Northern,Total,509,579,27218,42931,235
2019-02,9,Other/Unknown,Other,189,192,17355,29778,18
2019-02,9,Other/Unknown,RA/Lupus,5,5,217,427,5
2019-02,9,Other/Unknown,Total,194,197,17572,30205,23
2019-02,Total,Total,Other,2969,4196,191159,295487.5,1259
2019-02,Total,Total,RA/Lupus,3772,5218,238498,364406.4,1492
2019-02,Total,Total,Total,6741,9414,429657,659893.9,2264
2019-03,1,Interior,Other,590,838,36526,59582,298
2019-03,1,Interior,RA/Lupus,923,1220,61538,97458,370
2019-03,1,Interior,Total,1513,2058,98064,157040,552
2019-03,2,Fraser,Other,1066,1704,66555,100864,471
2019-03,2,Fraser,RA/Lupus,1516,2306,97547,148232.5,571
2019-03,2,Fraser,Total,2582,4010,164102,249096.5,850
2019-03,3,Vancouver Coastal,Other,510,743,35197,49760,241
2019-03,3,Vancouver Coastal,RA/Lupus,717,1031,50437,71340,288
2019-03,3,Vancouver Coastal,Total,1227,1774,85634,121100,455
2019-03,4,Vancouver Island,Other,606,840,39742,64109,305
2019-03,4,Vancouver Island,RA/Lupus,639,828,42646,68706.5,321
2019-03,4,Vancouver Island,Total,1245,1668,82388,132815.5,514
2019-03,5,Northern,Other,216,253,13015,21076.5,130
2019-03,5,Northern,RA/Lupus,326,393,17055,27829,177
2019-03,5,Northern,Total,542,646,30070,48905.5,248
2019-03,9,Other/Unknown,Other,205,207,18987,32073,21
2019-03,9,Other/Unknown,RA/Lupus,5,9,185,335,5
2019-03,9,Other/Unknown,Total,210,216,19172,32408,26
2019-03,Total,Total,Other,3193,4585,210022,327464.5,1358
2019-03,Total,Total,RA/Lupus,4126,5787,269408,413901,1607
2019-03,Total,Total,Total,7319,10372,479430,741365.5,2434
2019-04,1,Interior,Other,648,905,40710,65621,334
2019-04,1,Interior,RA/Lupus,902,1204,58439,93072.5,379
2019-04,1,Interior,Total,1550,2109,99149,158693.5,591
2019-04,2,Fraser,Other,1063,1702,67146,101590,449
2019-04,2,Fraser,RA/Lupus,1500,2335,96387,147222.7,569
2019-04,2,Fraser,Total,2563,4037,163533,248812.7,837
2019-04,3,Vancouver Coastal,Other,513,726,36267,51552.5,225
2019-04,3,Vancouver Coastal,RA/Lupus,744,1048,53199,74985,302
2019-04,3,Vancouver Coastal,Total,1257,1774,89466,126537.5,451
2019-04,4,Vancouver Island,Other,603,836,40977,65311,321
2019-04,4,Vancouver Island,RA/Lupus,632,826,42202,66078,319
2019-04,4,Vancouver Island,Total,1235,1662,83179,131389,535
2019-04,5,Northern,Other,208,246,11305,18510,138
2019-04,5,Northern,RA/Lupus,349,425,18517,30953,199
2019-04,5,Northern,Total,557,671,29822,49463,259
2019-04,9,Other/Unknown,Other,150,150,13446,22983,15
2019-04,9,Other/Unknown,RA/Lupus,6,10,448,868,6
2019-04,9,Other/Unknown,Total,156,160,13894,23851,21
2019-04,Total,Total,Other,3183,4565,209851,325567.5,1387
2019-04,Total,Total,RA/Lupus,4133,5848,269192,413179.2,1649
2019-04,Total,Total,Total,7316,10413,479043,738746.7,2479
2019-05,1,Interior,Other,637,910,40767,64599,307
2019-05,1,Interior,RA/Lupus,929,1236,60447,94936,370
2019-05,1,Interior,Total,1566,2146,101214,159535,552
2019-05,2,Fraser,Other,1128,1799,72689,111363.5,489
2019-05,2,Fraser,RA/Lupus,1613,2433,105849,160740,576
2019-05,2,Fraser,Total,2741,4232,178538,272103.5,855
2019-05,3,Vancouver Coastal,Other,541,717,38393,53869.5,253
2019-05,3,Vancouver Coastal,RA/Lupus,737,1095,51801,72243,284
2019-05,3,Vancouver Coastal,Total,1278,1812,90194,126112.5,455
2019-05,4,Vancouver Island,Other,620,847,42130,65650.5,305
2019-05,4,Vancouver Island,RA/Lupus,597,765,39254,60857.5,317
2019-05,4,Vancouver Island,Total,1217,1612,81384,126508,523
2019-05,5,Northern,Other,194,232,10578,16819.5,120
2019-05,5,Northern,RA/Lupus,373,459,20863,31995.5,202
2019-05,5,Northern,Total,567,691,31441,48815,258
2019-05,9,Other/Unknown,Other,168,169,15081,25545,20
2019-05,9,Other/Unknown,RA/Lupus,7,10,425,815,7
2019-05,9,Other/Unknown,Total,175,179,15506,26360,27
2019-05,Total,Total,Other,3288,4674,219638,337847,1386
2019-05,Total,Total,RA/Lupus,4255,5998,278639,421587,1623
2019-05,Total,Total,Total,7543,10672,498277,759434,2447
2019-06,1,Interior,Other,638,880,39867,64378.4,312
2019-06,1,Interior,RA/Lupus,888,1175,56558,89780.5,350
2019-06,1,Interior,Total,1526,2055,96425,154158.9,540
2019-06,2,Fraser,Other,1061,1727,67614,102930.5,466
2019-06,2,Fraser,RA/Lupus,1515,2233,96471,145318.2,550
2019-06,2,Fraser,Total,2576,3960,164085,248248.7,836
2019-06,3,Vancouver Coastal,Other,550,720,39815,54783.5,242
2019-06,3,Vancouver Coastal,RA/Lupus,746,1103,52624,75908.5,308
2019-06,3,Vancouver Coastal,Total,1296,1823,92439,130692,479
2019-06,4,Vancouver Island,Other,589,767,38493,60307.5,305
2019-06,4,Vancouver Island,RA/Lupus,631,773,41776,66791,303
2019-06,4,Vancouver Island,Total,1220,1540,80269,127098.5,505
2019-06,5,Northern,Other,208,245,11948,19015.5,128
2019-06,5,Northern,RA/Lupus,341,408,17617,29452.5,183
2019-06,5,Northern,Total,549,653,29565,48468,249
2019-06,9,Other/Unknown,Other,144,144,12765,20581,21
2019-06,9,Other/Unknown,RA/Lupus,9,13,588,904.5,9
2019-06,9,Other/Unknown,Total,153,157,13353,21485.5,30
2019-06,Total,Total,Other,3190,4483,210502,321996.4,1362
2019-06,Total,Total,RA/Lupus,4130,5705,265634,408155.2,1574
2019-06,Total,Total,Total,7320,10188,476136,730151.6,2419
2019-07,1,Interior,Other,651,934,42718,68955.5,330
2019-07,1,Interior,RA/Lupus,922,1257,60107,94402.8,381
2019-07,1,Interior,Total,1573,2191,102825,163358.3,582
2019-07,2,Fraser,Other,1116,1867,73141,109375.5,470
2019-07,2,Fraser,RA/Lupus,1579,2369,101580,155734.2,584
2019-07,2,Fraser,Total,2695,4236,174721,265109.7,853
2019-07,3,Vancouver Coastal,Other,561,793,39360,54749,248
2019-07,3,Vancouver Coastal,RA/Lupus,805,1179,57201,79469.5,308
2019-07,3,Vancouver Coastal,Total,1366,1972,96561,134218.5,480
2019-07,4,Vancouver Island,Other,644,845,43009,69220,313
2019-07,4,Vancouver Island,RA/Lupus,668,856,45362,72347.5,340
2019-07,4,Vancouver Island,Total,1312,1701,88371,141567.5,542
2019-07,5,Northern,Other,225,268,12702,20201,143
2019-07,5,Northern,RA/Lupus,365,453,19750,32606,195
2019-07,5,Northern,Total,590,721,32452,52807,271
2019-07,9,Other/Unknown,Other,179,179,15658,26956,21
2019-07,9,Other/Unknown,RA/Lupus,7,11,530,788,7
2019-07,9,Other/Unknown,Total,186,190,16188,27744,26
2019-07,Total,Total,Other,3375,4886,226588,349457,1412
2019-07,Total,Total,RA/Lupus,4346,6125,284530,435348,1684
2019-07,Total,Total,Total,7721,11011,511118,784805,2515
2019-08,1,Interior,Other,617,863,39063,62446.5,298
2019-08,1,Interior,RA/Lupus,898,1195,57782,90272,359
2019-08,1,Interior,Total,1515,2058,96845,152718.5,540
2019-08,2,Fraser,Other,1107,1812,71060,107640,469
2019-08,2,Fraser,RA/Lupus,1622,2362,104839,159552,582
2019-08,2,Fraser,Total,2729,4174,175899,267192,865
2019-08,3,Vancouver Coastal,Other,563,824,39385,54324.5,266
2019-08,3,Vancouver Coastal,RA/Lupus,724,1093,49148,69617,305
2019-08,3,Vancouver Coastal,Total,1287,1917,88533,123941.5,480
2019-08,4,Vancouver Island,Other,600,788,39031,61356,316
2019-08,4,Vancouver Island,RA/Lupus,619,810,40330,62408.5,315
2019-08,4,Vancouver Island,Total,1219,1598,79361,123764.5,532
2019-08,5,Northern,Other,198,226,10849,16994,128
2019-08,5,Northern,RA/Lupus,351,406,18725,29861,203
2019-08,5,Northern,Total,549,632,29574,46855,269
2019-08,9,Other/Unknown,Other,168,168,14837,25702,18
2019-08,9,Other/Unknown,RA/Lupus,5,9,243,303,5
2019-08,9,Other/Unknown,Total,173,177,15080,26005,22
2019-08,Total,Total,Other,3252,4681,214225,328463,1400
2019-08,Total,Total,RA/Lupus,4217,5875,271067,412013.5,1629
2019-08,Total,Total,Total,7469,10556,485292,740476.5,2487
2019-09,1,Interior,Other,611,854,39024,63197,293
2019-09,1,Interior,RA/Lupus,935,1211,59500,94601,379
2019-09,1,Interior,Total,1546,2065,98524,157798,555
2019-09,2,Fraser,Other,1094,1765,70091,107591,469
2019-09,2,Fraser,RA/Lupus,1536,2292,97339,144558.7,543
2019-09,2,Fraser,Total,2630,4057,167430,252149.7,828
2019-09,3,Vancouver Coastal,Other,593,851,41465,58835,249
2019-09,3,Vancouver Coastal,RA/Lupus,774,1151,53371,76241.5,314
2019-09,3,Vancouver Coastal,Total,1367,2002,94836,135076.5,481
2019-09,4,Vancouver Island,Other,616,804,41348,65357.4,300
2019-09,4,Vancouver Island,RA/Lupus,626,832,41277,65367.5,312
2019-09,4,Vancouver Island,Total,1242,1636,82625,130724.9,522
2019-09,5,Northern,Other,209,240,11590,18449,128
2019-09,5,Northern,RA/Lupus,354,418,19304,31012.5,196
2019-09,5,Northern,Total,563,658,30894,49461.5,259
2019-09,9,Other/Unknown,Other,180,184,16191,28166,23
2019-09,9,Other/Unknown,RA/Lupus,7,10,456,766,7
2019-09,9,Other/Unknown,Total,187,194,16647,28932,29
2019-09,Total,Total,Other,3302,4698,219709,341595.4,1342
2019-09,Total,Total,RA/Lupus,4232,5914,271247,412547.2,1607
2019-09,Total,Total,Total,7534,10612,490956,754142.6,2424
2019-10,1,Interior,Other,661,953,44488,71731.5,335
2019-10,1,Interior,RA/Lupus,971,1297,66265,102248,397
2019-10,1,Interior,Total,1632,2250,110753,173979.5,602
2019-10,2,Fraser,Other,1144,1807,74257,111511,487
2019-10,2,Fraser,RA/Lupus,1685,2530,108613,166637,591
2019-10,2,Fraser,Total,2829,4337,182870,278148,880
2019-10,3,Vancouver Coastal,Other,602,898,42231,59201,268
2019-10,3,Vancouver Coastal,RA/Lupus,800,1209,57804,79425,312
2019-10,3,Vancouver Coastal,Total,1402,2107,100035,138626,492
2019-10,4,Vancouver Island,Other,638,844,44465,71303,331
2019-10,4,Vancouver Island,RA/Lupus,670,920,46144,72140.5,321
2019-10,4,Vancouver Island,Total,1308,1764,90609,143443.5,550
2019-10,5,Northern,Other,223,268,12526,20195.5,135
2019-10,5,Northern,RA/Lupus,378,447,20740,33322,195
2019-10,5,Northern,Total,601,715,33266,53517.5,257
2019-10,9,Other/Unknown,Other,178,181,16655,28864,22
2019-10,9,Other/Unknown,RA/Lupus,4,9,245,380,4
2019-10,9,Other/Unknown,Total,182,190,16900,29244,26
2019-10,Total,Total,Other,3446,4951,234622,362806,1462
2019-10,Total,Total,RA/Lupus,4508,6412,299811,454152.5,1689
2019-10,Total,Total,Total,7954,11363,534433,816958.5,2571
2019-11,1,Interior,Other,627,875,40267,64546,299
2019-11,1,Interior,RA/Lupus,884,1152,56783,89762,353
2019-11,1,Interior,Total,1511,2027,97050,154308,531
2019-11,2,Fraser,Other,1154,1789,74005,112680,469
2019-11,2,Fraser,RA/Lupus,1636,2408,105400,157498.2,575
2019-11,2,Fraser,Total,2790,4197,179405,270178.2,850
2019-11,3,Vancouver Coastal,Other,575,856,39092,54769,241
2019-11,3,Vancouver Coastal,RA/Lupus,727,1093,50569,70228.5,295
2019-11,3,Vancouver Coastal,Total,1302,1949,89661,124997.5,458
2019-11,4,Vancouver Island,Other,584,784,38549,60267.5,314
2019-11,4,Vancouver Island,RA/Lupus,589,780,38046,59578.5,305
2019-11,4,Vancouver Island,Total,1173,1564,76595,119846,527
2019-11,5,Northern,Other,208,238,11420,18800,124
2019-11,5,Northern,RA/Lupus,345,396,17769,28642.5,197
2019-11,5,Northern,Total,553,634,29189,47442.5,254
2019-11,9,Other/Unknown,Other,153,155,13241,23061,23
2019-11,9,Other/Unknown,RA/Lupus,3,8,148,208,3
2019-11,9,Other/Unknown,Total,156,163,13389,23269,26
2019-11,Total,Total,Other,3301,4697,216574,334123.5,1359
2019-11,Total,Total,RA/Lupus,4181,5837,268715,405917.7,1589
2019-11,Total,Total,Total,7482,10534,485289,740041.2,2412
2019-12,1,Interior,Other,683,968,46008,74137.5,316
2019-12,1,Interior,RA/Lupus,992,1320,67275,104487.5,389
2019-12,1,Interior,Total,1675,2288,113283,178625,589
2019-12,2,Fraser,Other,1160,1888,76531,117036,475
2019-12,2,Fraser,RA/Lupus,1668,2486,108379,164328.2,558
2019-12,2,Fraser,Total,2828,4374,184910,281364.2,840
2019-12,3,Vancouver Coastal,Other,574,879,38913,55080.5,246
2019-12,3,Vancouver Coastal,RA/Lupus,761,1176,54040,77194,292
2019-12,3,Vancouver Coastal,Total,1335,2055,92953,132274.5,453
2019-12,4,Vancouver Island,Other,630,847,42516,66326,301
2019-12,4,Vancouver Island,RA/Lupus,648,849,43567,68790.5,332
2019-12,4,Vancouver Island,Total,1278,1696,86083,135116.5,531
2019-12,5,Northern,Other,208,244,11651,18519,131
2019-12,5,Northern,RA/Lupus,381,454,20324,32463.5,208
2019-12,5,Northern,Total,589,698,31975,50982.5,279
2019-12,9,Other/Unknown,Other,135,136,12494,20507,20
2019-12,9,Other/Unknown,RA/Lupus,4,8,119,182,4
2019-12,9,Other/Unknown,Total,139,144,12613,20689,23
2019-12,Total,Total,Other,3389,4962,228113,351606,1379
2019-12,Total,Total,RA/Lupus,4451,6293,293704,447445.7,1648
2019-12,Total,Total,Total,7840,11255,521817,799051.7,2490
2020-01,1,Interior,Other,607,862,37649,61014,302
2020-01,1,Interior,RA/Lupus,914,1177,57320,90609.5,394
2020-01,1,Interior,Total,1521,2039,94969,151623.5,575
2020-01,2,Fraser,Other,1129,1783,71979,106986,476
2020-01,2,Fraser,RA/Lupus,1536,2290,98378,148857,543
2020-01,2,Fraser,Total,2665,4073,170357,255843,831
2020-01,3,Vancouver Coastal,Other,639,887,44849,63489.5,265
2020-01,3,Vancouver Coastal,RA/Lupus,799,1173,57531,78979,317
2020-01,3,Vancouver Coastal,Total,1438,2060,102380,142468.5,492
2020-01,4,Vancouver Island,Other,624,836,41697,66075,330
2020-01,4,Vancouver Island,RA/Lupus,626,806,41117,63801,303
2020-01,4,Vancouver Island,Total,1250,1642,82814,129876,534
2020-01,5,Northern,Other,208,249,11809,18933,119
2020-01,5,Northern,RA/Lupus,373,461,20211,32678.5,204
2020-01,5,Northern,Total,581,710,32020,51611.5,265
2020-01,9,Other/Unknown,Other,163,166,14598,23434,30
2020-01,9,Other/Unknown,RA/Lupus,5,9,271,389,5
2020-01,9,Other/Unknown,Total,168,175,14869,23823,35
2020-01,Total,Total,Other,3370,4783,222581,339931.5,1415
2020-01,Total,Total,RA/Lupus,4250,5916,274828,415314,1627
2020-01,Total,Total,Total,7620,10699,497409,755245.5,2499
2020-02,1,Interior,Other,560,752,33704,54546,288
2020-02,1,Interior,RA/Lupus,881,1123,55886,88224,372
2020-02,1,Interior,Total,1441,1875,89590,142770,544
2020-02,2,Fraser,Other,1152,1747,73426,109976,477
2020-02,2,Fraser,RA/Lupus,1583,2264,99382,149294.7,559
2020-02,2,Fraser,Total,2735,4011,172808,259270.7,850
2020-02,3,Vancouver Coastal,Other,573,805,39167,55740.5,247
2020-02,3,Vancouver Coastal,RA/Lupus,717,1104,49192,67695,277
2020-02,3,Vancouver Coastal,Total,1290,1909,88359,123435.5,453
2020-02,4,Vancouver Island,Other,553,738,36538,57430.5,277
2020-02,4,Vancouver Island,RA/Lupus,586,753,37835,58027,294
2020-02,4,Vancouver Island,Total,1139,1491,74373,115457.5,488
2020-02,5,Northern,Other,202,226,11404,18602.5,118
2020-02,5,Northern,RA/Lupus,339,390,17971,28908.5,199
2020-02,5,Northern,Total,541,616,29375,47511,264
2020-02,9,Other/Unknown,Other,148,150,12765,22823,24
2020-02,9,Other/Unknown,RA/Lupus,5,8,326,461,5
2020-02,9,Other/Unknown,Total,153,158,13091,23284,28
2020-02,Total,Total,Other,3188,4418,207004,319118.5,1314
2020-02,Total,Total,RA/Lupus,4109,5642,260592,392610.2,1570
2020-02,Total,Total,Total,7297,10060,467596,711728.7,2404
2020-03,1,Interior,Other,838,1008,47329,76025,377
2020-03,1,Interior,RA/Lupus,1004,1221,62430,96020,417
2020-03,1,Interior,Total,1842,2229,109759,172045,659
2020-03,2,Fraser,Other,1485,2007,83961,128928.5,609
2020-03,2,Fraser,RA/Lupus,1794,2396,114577,172182.4,618
2020-03,2,Fraser,Total,3279,4403,198538,301110.9,989
2020-03,3,Vancouver Coastal,Other,1131,1386,63803,95470.5,516
2020-03,3,Vancouver Coastal,RA/Lupus,949,1285,67399,94162,352
2020-03,3,Vancouver Coastal,Total,2080,2671,131202,189632.5,769
2020-03,4,Vancouver Island,Other,867,1019,51366,81497,423
2020-03,4,Vancouver Island,RA/Lupus,711,848,45827,70895.5,342
2020-03,4,Vancouver Island,Total,1578,1867,97193,152392.5,648
2020-03,5,Northern,Other,262,288,12627,20744.5,148
2020-03,5,Northern,RA/Lupus,373,416,19048,30844,209
2020-03,5,Northern,Total,635,704,31675,51588.5,291
2020-03,9,Other/Unknown,Other,267,274,21488,35832,37
2020-03,9,Other/Unknown,RA/Lupus,2,4,111,111,2
2020-03,9,Other/Unknown,Total,269,278,21599,35943,39
2020-03,Total,Total,Other,4850,5982,280574,438497.5,1891
2020-03,Total,Total,RA/Lupus,4830,6170,309392,464214.9,1808
2020-03,Total,Total,Total,9680,12152,589966,902712.4,3049
